OrderID,Date,City,Category,Product,Quantity,Price
1,27-09-2024,Delhi,Electronics,Laptop,1,89878
2,21-01-2024,Kolkata,Clothing,T-Shirt,7,627
3,2/8/2024,Mumbai,Clothing,T-Shirt,7,450
4,9/4/2024,Bangalore,Electronics,Phone,2,62053
5,29-05-2024,Delhi,Electronics,Phone,1,31078
6,9/12/2024,Mumbai,Groceries,Rice,11,449
7,10/7/2024,Delhi,Electronics,Phone,1,27403
8,9/11/2024,Delhi,Groceries,Milk,10,56
9,10/12/2024,Delhi,Groceries,Rice,11,349
10,28-02-2024,Delhi,Clothing,Jeans,8,3232
11,6/7/2024,Kolkata,Groceries,Bread,12,37
12,8/7/2024,Mumbai,Groceries,Milk,12,70
13,20-02-2024,Chennai,Groceries,Rice,9,599
14,15-11-2024,Kolkata,Groceries,Bread,12,36
15,2/11/2024,Chennai,Electronics,Headphones,2,1200
16,15-06-2024,Bangalore,Electronics,Laptop,2,53128
17,29-03-2024,Kolkata,Electronics,Laptop,1,61528
18,29-08-2024,Bangalore,Electronics,Laptop,1,62578
19,11/12/2024,Bangalore,Electronics,Headphones,2,5289
20,1/4/2024,Mumbai,Electronics,Phone,1,53128
21,20-09-2024,Kolkata,Clothing,Jeans,8,1107
22,24-07-2024,Delhi,Groceries,Bread,12,52
23,19-02-2024,Mumbai,Clothing,Jeans,8,1813
24,23-02-2024,Kolkata,Clothing,Jacket,8,5963
25,5/11/2024,Kolkata,Clothing,Jacket,7,4935
26,5/8/2024,Delhi,Electronics,Phone,2,27403
27,20-07-2024,Delhi,Clothing,Jacket,5,5178
28,26-09-2024,Chennai,Clothing,Jeans,6,3412
29,2/8/2024,Kolkata,Clothing,Jacket,5,3777
30,8/7/2024,Bangalore,Electronics,Phone,1,66778
31,22-02-2024,Mumbai,Electronics,Phone,1,70978
32,4/8/2024,Mumbai,Groceries,Rice,9,299
33,10/2/2024,Mumbai,Clothing,T-Shirt,7,725
34,27-10-2024,Chennai,Electronics,Laptop,2,94078
35,9/12/2024,Mumbai,Electronics,Phone,1,41053
36,15-05-2024,Delhi,Clothing,Jacket,5,4286
37,11/6/2024,Mumbai,Clothing,Jacket,6,3775
38,17-09-2024,Chennai,Clothing,Jacket,7,2772
39,10/2/2024,Bangalore,Clothing,T-Shirt,6,839
40,23-11-2024,Mumbai,Clothing,T-Shirt,5,1088
41,17-02-2024,Bangalore,Clothing,Jacket,5,2336
42,2/3/2024,Mumbai,Groceries,Rice,10,349
43,8/4/2024,Mumbai,Electronics,Laptop,2,72553
44,4/2/2024,Kolkata,Clothing,T-Shirt,6,597
45,13-09-2024,Chennai,Electronics,Phone,2,36328
46,11/9/2024,Kolkata,Clothing,Jacket,7,4316
47,9/10/2024,Mumbai,Groceries,Rice,10,499
48,15-01-2024,Mumbai,Clothing,Jacket,8,1854
49,27-06-2024,Delhi,Electronics,Phone,2,61528
50,18-08-2024,Chennai,Electronics,Headphones,3,4895
51,5/4/2024,Kolkata,Groceries,Rice,11,349
52,18-08-2024,Delhi,Clothing,T-Shirt,7,1174
53,19-06-2024,Delhi,Groceries,Bread,11,37
54,13-01-2024,Mumbai,Clothing,T-Shirt,6,999
55,30-08-2024,Bangalore,Electronics,Phone,1,68353
56,18-06-2024,Delhi,Groceries,Milk,8,72
57,13-05-2024,Kolkata,Clothing,T-Shirt,7,1139
58,5/12/2024,Kolkata,Groceries,Milk,9,70
59,26-11-2024,Mumbai,Clothing,T-Shirt,7,792
60,13-12-2024,Delhi,Electronics,Headphones,3,1541
61,8/7/2024,Kolkata,Electronics,Headphones,3,1337
62,30-04-2024,Chennai,Groceries,Bread,11,56
63,24-12-2024,Kolkata,Electronics,Headphones,3,2903
64,13-11-2024,Delhi,Electronics,Laptop,2,98803
65,31-05-2024,Bangalore,Groceries,Rice,12,499
66,8/6/2024,Chennai,Electronics,Laptop,2,52603
67,20-08-2024,Chennai,Electronics,Phone,2,69928
68,21-02-2024,Bangalore,Electronics,Headphones,3,2946
69,21-10-2024,Mumbai,Clothing,Jeans,6,1412
70,22-04-2024,Chennai,Groceries,Rice,9,599
71,5/7/2024,Chennai,Clothing,T-Shirt,8,968
72,9/5/2024,Mumbai,Groceries,Milk,9,66
73,11/8/2024,Delhi,Electronics,Laptop,1,89878
74,5/5/2024,Bangalore,Clothing,Jeans,7,2493
75,5/8/2024,Mumbai,Electronics,Laptop,1,57853
76,3/9/2024,Mumbai,Clothing,Jacket,6,4531
77,21-07-2024,Delhi,Groceries,Bread,10,46
78,11/9/2024,Kolkata,Groceries,Milk,12,58
79,20-11-2024,Chennai,Electronics,Phone,2,57328
80,27-08-2024,Kolkata,Clothing,T-Shirt,7,945
81,19-07-2024,Bangalore,Electronics,Laptop,2,94078
82,21-11-2024,Bangalore,Clothing,T-Shirt,5,545
83,27-05-2024,Mumbai,Groceries,Rice,11,399
84,26-05-2024,Mumbai,Electronics,Phone,2,48403
85,17-07-2024,Bangalore,Clothing,T-Shirt,8,900
86,7/5/2024,Kolkata,Groceries,Rice,12,399
87,25-12-2024,Kolkata,Electronics,Laptop,1,78328
88,30-05-2024,Mumbai,Groceries,Milk,11,64
89,24-10-2024,Delhi,Electronics,Laptop,2,65203
90,8/9/2024,Delhi,Groceries,Milk,12,72
91,29-02-2024,Bangalore,Groceries,Rice,12,449
92,30-10-2024,Kolkata,Groceries,Bread,12,56
93,6/2/2024,Delhi,Electronics,Phone,1,34228
94,9/1/2024,Chennai,Electronics,Headphones,3,1424
95,26-05-2024,Chennai,Clothing,T-Shirt,5,868
96,10/5/2024,Mumbai,Electronics,Phone,2,67828
97,9/6/2024,Chennai,Groceries,Milk,10,53
98,15-03-2024,Chennai,Clothing,T-Shirt,6,1045
99,13-04-2024,Mumbai,Groceries,Bread,11,47
100,14-08-2024,Bangalore,Electronics,Phone,1,30553
101,8/4/2024,Bangalore,Clothing,T-Shirt,8,534
102,3/12/2024,Chennai,Clothing,T-Shirt,6,831
